run_item_id,template_id,acceptance_variant_id,rep_id,provider,model,temperature,active_main_objective,later_side_topic_turn,acceptance_turn,arm_label,assistant_turn3_response,assistant_turn5_response,turn3_output_tokens,turn5_output_tokens,system_prompt_sha256,ran_at_utc
PRA_A_main_r01,A_trip_planning,accept_main_first,1,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's stay with budget and schedule first.,nrr_priority_resolution_v1,"Got it! Should we focus on budget and schedule first, or would you like to switch to restaurants now?","Great! Let's start with the budget and schedule.

A few questions to get us going:

- Where are you traveling to, and where are you departing from?
- How many days is the trip?
- How many people are traveling?
- Do you have a total budget in mind?",25,67,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
PRA_A_main_r02,A_trip_planning,accept_main_first,2,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's stay with budget and schedule first.,nrr_priority_resolution_v1,"Got it! Should we focus on the budget and schedule first, or would you like to switch to restaurants now?","Great! Let's start with the budget and schedule.

A few questions to get us going:

- Where are you traveling to, and where are you departing from?
- How many days is the trip?
- How many people are traveling?
- Do you have a total budget in mind?",26,67,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
PRA_A_main_r03,A_trip_planning,accept_main_first,3,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's stay with budget and schedule first.,nrr_priority_resolution_v1,"Got it! Should we focus on budget and schedule first, or would you like to switch to restaurants now?","Great! Let's start with the budget and schedule.

To help you plan effectively, could you share:
- **Destination** – Where are you going?
- **Duration** – How many days is the trip?
- **Total budget** – Do you have a rough amount in mind?",25,66,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
PRA_A_main_r04,A_trip_planning,accept_main_first,4,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's stay with budget and schedule first.,nrr_priority_resolution_v1,"Got it! Should we focus on budget and schedule first, or would you like to switch to restaurants now?","Great! Let's start with the budget and schedule.

A few questions to get us going:

- Where are you traveling to, and where are you departing from?
- How many days is the trip?
- How many people are traveling?
- Do you have a total budget in mind?",25,67,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
PRA_A_side_r01,A_trip_planning,accept_side_first,1,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's switch to restaurants first.,nrr_priority_resolution_v1,"Got it! Should we focus on the budget and schedule first, or would you like to switch to restaurants now?","Sure! Tell me more about your preferences — what type of cuisine, any dietary restrictions, or a particular city/area you're visiting?",26,31,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
PRA_A_side_r02,A_trip_planning,accept_side_first,2,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's switch to restaurants first.,nrr_priority_resolution_v1,"Got it! Should we focus on budget and schedule first, or would you like to switch to restaurants now?","Sure! Tell me more about your preferences — what type of cuisine, any dietary restrictions, or a particular city/area you're visiting?",25,31,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
PRA_A_side_r03,A_trip_planning,accept_side_first,3,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's switch to restaurants first.,nrr_priority_resolution_v1,"Got it! Should we focus on budget and schedule first, or would you like to switch to restaurants now?","Sure! Tell me more about your preferences — what type of cuisine, any dietary restrictions, or a particular city/area you're visiting?",25,31,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
PRA_A_side_r04,A_trip_planning,accept_side_first,4,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's switch to restaurants first.,nrr_priority_resolution_v1,"Got it! Should we focus on budget and schedule first, or would you like to switch to restaurants now?","Sure! Tell me more about your preferences — what type of cuisine, any dietary restrictions, or a particular city/area you're visiting?",25,31,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
PRA_B_main_r01,B_hiring_packet,accept_main_first,1,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,Let's focus on the hiring packet first.,nrr_priority_resolution_v1,"Got it. Should we finish putting together the hiring packet first, then move to onboarding training — or would you prefer to switch focus now?","Great. To get started, can you share any existing requirements or guidelines you're working from — like a company template, HR policy, or a specific role? That'll help me make sure we cover the right documents and hit the correct deadline.",33,52,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
PRA_B_main_r02,B_hiring_packet,accept_main_first,2,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,Let's focus on the hiring packet first.,nrr_priority_resolution_v1,"Got it. Should we finish putting together the hiring packet first, then move to onboarding training — or would you like to switch focus now?","Great. To get started, can you share any existing requirements or guidelines you're working from — like a company template, HR policy, or a specific role? That'll help me make sure we cover the right documents and hit the correct deadline.",33,52,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
